,ID,Name,Provider,URL,Cap,Domains,Publisher,Description,Status
0,0,Adv3,Adv,https://www.searchresults.pro/click?campaign_id=1179&pub_id=399&p1=%s,100,feeddesk1,Publisher 1,none,Active
1,1,Adv4,Adv,https://www.searchresults.pro/click?campaign_id=1037&pub_id=399&p1=%s,100,,,none,Active
2,2,AE2,AE,https://srch.adsearchexperts.com/f?cid=8639&q=%s,100,,,none,Active
3,3,AE3,AE,https://srch.adsearchexperts.com/f?cid=8690&q=%s,100,,,none,Active
4,4,AE4,AE,https://srch.adsearchexperts.com/f?cid=8804&q=%s,100,d,Publisher 1,none,Active
5,5,Ric4,Ric,https://take2search.com/t/vxt7dimEoz9w8EHy4Th7Hm?sub1=%s&sub2=111177,100,,,none,Active
6,6,Ric8,Ric,https://mfbhs151.fastsearch.me/?q=%s,100,,,none,Active
7,7,Adv7,Adv,https://www.searchresults.pro/click?campaign_id=37&pub_id=399&p1=%s,100,feeddesk10,Publisher 5,none,Active
8,8,Adv7,Adv,https://www.searchresults.pro/click?campaign_id=37&pub_id=399&p1=%s,100,,,none,Active
9,9,Adv2,Adv,https://www.searchresults.pro/click?campaign_id=1281&pub_id=399&p1=%s,100,feeddesk2,Publisher 1,none,Active
10,10,Ric1,Ric,https://seteamsobtantion.com/3536e3c9-9196-4930-91eb-407486ec111b?term=%s&tid=1226,100,feeddesk2,Publisher 1,none,Active
11,11,Ric6,Ric,https://5f72d03.mysearch.space?q=%s,100,feeddesk3,Publisher 2,none,Active
12,12,UDMS1,UDMS,https://search.searcthesrch.com/t/MjA2NF8zNzkxODk/?p10=%s,100,feeddesk4,Publisher 2,none,Active
13,13,Ric4,Ric,https://take2search.com/t/vxt7dimEoz9w8EHy4Th7Hm?sub1=%s&sub2=111177,100,feeddesk41,Publisher 5,none,Active
14,14,Ric4,Ric,https://take2search.com/t/vxt7dimEoz9w8EHy4Th7Hm?sub1=%s&sub2=111177,100,,,none,Active
15,15,AE1,AE,https://srch.adsearchexperts.com/f?cid=8612&q=%s,100,feeddesk6,Publisher 3,none,Active
16,16,Ric10,Ric,https://click.routway.com/n7wpcne7/c9467d9e3464538e/?p3=%s&p2=1543,100,feeddesk7,Leon Publisher,none,Active
17,17,Ric7,Ric,https://searchfst.com/?p=mf1&ch=1004&kw=%s,100,feeddesk7,Leon Publisher,none,Active
18,18,Fin2,Fin,https://seteamsobtantion.com/373ada79-9a65-4492-a7ad-0ed8f3146317?term=%s&tid=1231,100,feeddesk701,Leon Publisher,none,Active
19,19,Adv6,Adv,https://www.searchresults.pro/click?campaign_id=402&pub_id=399&p1=%s,100,feeddesk8a,Leon Publisher,none,Active
20,20,Ric3,Ric,https://677f1c8.mysearch.space?q=%s,100,feeddesk8b,Leon Publisher,none,Active
21,21,Adv8,Adv,https://www.searchresults.pro/click?campaign_id=1424&pub_id=399&p1=%s,100,feeddesk8b,Leon Publisher,none,Active
22,22,Adv10,Adv,https://www.searchresults.pro/click?campaign_id=1509&pub_id=399&p1=%s,100,feeddesk8b,Leon Publisher,none,Active
23,23,Ric9,Ric,https://click.routway.com/n7w66wab/59f57e65d415d6c2/?p3=%s&p2=1530,100,feeddesk8b,Leon Publisher,none,Active
24,24,Adv9,Adv,https://www.searchresults.pro/click?campaign_id=1459&pub_id=399&p1=%s,100,feeddesk9,Publisher 5,none,Active
25,25,ET1,ET,https://searchmana.com/?pubid=30185&tid=1054&sid=1000&q=%s,100,feeddesk9,Publisher 5,none,Inactive
